"2020/04/16"
"17:24時点"
"対象期間","2020年3月16日～2020年4月15日"

"◆ご利用明細内訳（お振替済分）"
"ご利用者","お振替日","ご利用先など","お振替金額（￥）","摘要","承認番号"
"1089","2020/03/25","ＦＵＪＩ上野川","2,068","","[903821]"
"1089","2020/03/20","ＦＵＪＩ上野川","1,470","","[943461]"
"1089","2020/03/17","ＦＵＪＩ上野川","3,255","","[786148]"



"◆ご利用明細内訳（差額分・お振替未済分）"
"ご利用者","差額発生日","ご利用先など","差額（￥）","摘要","お取引結果","承認番号"
"1089","2020/03/30","５％還元）ＦＵＪＩ上野川","-103","（利用日）：２０２０年３月２５日","銀行振替済","[903821]"
"1089","2020/03/24","５％還元）ＦＵＪＩ上野川","-73","（利用日）：２０２０年３月２０日","銀行振替済","[943461]"
"1089","2020/03/23","５％還元）ＦＵＪＩ上野川","-162","（利用日）：２０２０年３月１７日","銀行振替済","[786148]"
